ID,SO
1653,44736
1654,44737
1655,44738
1656,44742
1657,44744
1658,44746
1659,44747
1660,44722
1661,44707
1662,44751
1663,44752
1664,44753
1665,44754
1666,44755
1667,44756
1668,44757
1669,44761
1670,44767
1671,44771
1672,44778
1673,44777
1674,44759
1675,44787
1676,44799
1677,44788
1678,44781
1679,44784
1680,44797
1681,44794
1682,44798
1683,44785
1684,44790
1685,44802
1686,44803
1687,44805
1688,44810
1689,44817
1690,44822
1691,44824
1692,44825
1693,44811
1694,44813
1695,44835
1696,44836
1697,44837
1698,44838
1699,44840
1700,44844
1701,44845
1702,44857
1703,44858
1704,44859
1705,44862
1706,44864
1707,44865
1708,44877
1709,44789
1710,44807
1711,44872
1712,44885
1713,44892
1714,44893
1715,44894
1716,44895
1717,44897
1718,44898
1719,44920
1720,44878
1721,44904
1722,44905
1723,44912
1724,44913
1725,44916
1726,44917
1727,44919
1728,44921
1729,44922
1730,44923
1731,44924
1732,44925
1733,44926
1734,44934
1735,44937
1736,44938
1737,44942
1738,44943
1739,44944
1740,44946
1741,44947
1742,44950
1743,44955
1744,44956
1745,44957
1746,44960
1747,44963
1748,44965
1749,44966
1750,44982
1751,44984
1752,44985
1753,44987
1754,44975
1755,44976
1756,44972
1757,44981
1758,44999
1759,45000
1760,45001
1761,45003
1762,44989
1763,44991
1764,44993
1765,44995
1766,44996
1767,44997
1768,45010
1769,44998
1770,45045
1771,44903
1772,45013
1773,45017
1774,45018
1775,45029
1776,45030
1777,45031
1778,45037
1779,45039
1780,45040
1781,45044
1782,45046
1783,45047
1784,45050
1785,45051
1786,45053
1787,45054
1788,45057
1789,45058
1790,45065
1791,45063
1792,45070
1793,45071
1794,45074
1795,45075
1796,45078
1797,45081
1798,45092
1799,45068
1800,45085
1801,45087
1802,45089
1803,45090
1804,45091
1805,45096
1806,45097
1807,45098
1808,45103
1809,45104
1810,45108
1811,45109
1812,45111
1813,45112
1814,45113
1815,45114
1816,45116
1817,45119
1818,45124
1819,45125
1820,45011
1821,45082
1822,45129
1823,45130
1824,45131
1825,45137
1826,45147
1827,45149
1828,45150
1829,45156
1830,45162
1831,45163
1832,45170
1833,45174
1834,45175
1835,45176
1836,45177
1837,45179
1838,45181
1839,45183
1840,45185
1841,45186
1842,45188
1843,45189
1844,45190
1845,45191
1846,45194
1847,45195
1848,45196
1849,45138
1850,45158
1851,45165
1852,45167
1853,45171
1854,45172
1855,45173
1856,45180
1857,45184
1858,45198
1859,45202
1860,45203
1861,45199
1862,45204
1863,45205
1864,45206
1865,45213
1866,45214
1867,45215
1868,45216
1869,45218
1870,45220
1871,45221
1872,45222
1873,45224
1874,45225
1875,45182
1876,45229
1877,45230
1878,45231
1879,45234
1880,45240
1881,45241
1882,45242
1883,45246
1884,45247
1885,45250
1886,45251
1887,45252
1888,45253
1889,45201
1890,45200
1891,45256
1892,45257
1893,45258
1894,45259
